names,pvals_adj,logfoldchanges,scores,pts,pts_rest,cluster_name
AAEL013898,8.968293746367731e-19,1.3139296,9.167403,0.2571428571428571,0.038876889848812095,FBC
AAEL012448,1.0472899415820432e-18,1.393236,9.150362,0.25413533834586466,0.0359456957729096,FBC
AAEL012579,1.0798866831558676e-18,1.0888875,9.146849,0.2781954887218045,0.057543967911138534,FBC
AAEL010572,3.52419708537257e-18,1.4418452,9.016727,0.26015037593984963,0.04427645788336933,FBC
AAEL029012,3.55025032189497e-18,1.4268566,9.01582,0.2511278195488722,0.03656278926257328,FBC
AAEL007153,4.209439539590931e-18,1.2700788,8.996934,0.26165413533834586,0.04659055846960815,FBC
AAEL025929,4.798303402514139e-18,1.2941538,8.982241,0.26015037593984963,0.04566491823511262,FBC
AAEL026243,5.963659486270687e-18,1.0728031,8.957691,0.2781954887218045,0.061400802221536564,FBC
AAEL007988,6.0505575578194444e-18,1.45249,8.955895,0.25263157894736843,0.0396482567108917,FBC
AAEL025344,9.672011027992777e-18,1.1976187,8.903499,0.26015037593984963,0.047979018821351437,FBC
AAEL006502,1.3167502331884883e-17,1.0489892,8.868904,0.2511278195488722,0.03949398333847578,FBC
AAEL002207,1.8799060379722682e-17,1.0280795,8.82826,0.26165413533834586,0.05013884603517433,FBC
AAEL006647,2.8999338967637096e-17,1.3197554,8.778637,0.2571428571428571,0.04674483184202407,FBC
AAEL026924,3.163382698627815e-17,1.1844822,8.768651,0.2511278195488722,0.04119099043505091,FBC
AAEL006480,8.013566554636747e-15,1.0565813,8.112153,0.25263157894736843,0.056001234186979325,FBC
AAEL008039,2.0063411092598784e-18,3.0982337,9.621177,0.8208955223880597,0.4077683615819209,EE
AAEL010789,2.0063411092598784e-18,7.9986353,9.612343,0.6865671641791045,0.010310734463276836,EE
AAEL025380,2.920345072580694e-18,7.4746747,9.559813,0.6865671641791045,0.016666666666666666,EE
AAEL002578,5.000269708934289e-18,3.586134,9.491727,0.7761194029850746,0.27231638418079096,EE
AAEL002295,7.02864042867288e-18,4.0800853,9.445146,0.746268656716418,0.17584745762711865,EE
AAEL013229,8.315008348455078e-18,5.708132,9.4083805,0.7014925373134329,0.09872881355932203,EE
AAEL008489,3.6443417870035454e-16,7.9723735,8.993616,0.6417910447761194,0.007062146892655367,EE
AAEL022535,8.096447503199589e-16,5.239511,8.897272,0.6716417910447762,0.09265536723163842,EE
AAEL002733,1.1801050667460279e-14,8.195478,8.586853,0.6268656716417911,0.04180790960451977,EE
AAEL009836,1.2221787553368796e-14,6.026236,8.575401,0.6268656716417911,0.03629943502824859,EE
AAEL000948,1.2717684685655083e-12,3.5513866,7.996087,0.6567164179104478,0.16002824858757062,EE
AAEL005432,2.6236976566132243e-12,3.2770047,7.900308,0.6716417910447762,0.19491525423728814,EE
AAEL014064,7.26596735200263e-11,3.6322486,7.463294,0.6268656716417911,0.20451977401129945,EE
AAEL000859,1.9865319019024624e-10,3.5056715,7.3239684,0.6417910447761194,0.2519774011299435,EE
AAEL007765,2.2048152530133468e-10,3.2656426,7.304486,0.6268656716417911,0.18968926553672316,EE
AAEL017301,3.4041727181262433e-10,6.2724905,7.240534,0.5223880597014925,0.01172316384180791,EE
AAEL013875,4.81285318472142e-10,2.3421776,7.188272,0.7014925373134329,0.3728813559322034,EE
AAEL001495,8.910484575158799e-10,6.2346234,7.09865,0.5223880597014925,0.03418079096045198,EE
AAEL014450,3.215340530649933e-09,8.036751,6.909293,0.4925373134328358,0.0038135593220338985,EE
AAEL003203,1.0639837235867167e-08,3.015257,6.723595,0.6119402985074627,0.24166666666666667,EE
AAEL005692,1.3834247902590073e-08,7.6594944,6.680881,0.47761194029850745,0.005790960451977401,EE
AAEL022190,1.5161938505253215e-08,7.6285114,6.6631827,0.47761194029850745,0.00847457627118644,EE
AAEL008006,2.970482471335517e-08,3.7332566,6.555387,0.5373134328358209,0.12217514124293785,EE
